"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2004","88.980","89.270","89.470","88.850","2.77K","-0.34%"
"Mar 26, 2004","89.280","89.280","89.570","88.780","1.64K","-0.04%"
"Mar 25, 2004","89.320","89.310","89.650","88.950","1.21K","-0.03%"
"Mar 24, 2004","89.350","88.080","89.420","87.950","4.58K","1.28%"
"Mar 23, 2004","88.220","88.120","88.580","88.010","1.58K","0.02%"
"Mar 22, 2004","88.200","88.550","88.930","87.800","1.48K","-0.38%"
"Mar 19, 2004","88.540","88.060","88.750","87.950","0.78K","0.44%"
"Mar 18, 2004","88.150","89.110","89.000","87.800","5.08K","-1.01%"
"Mar 17, 2004","89.050","89.000","89.460","88.910","1.10K","0.03%"
"Mar 16, 2004","89.020","89.180","89.320","88.540","1.57K","0.00%"
"Mar 15, 2004","89.019","89.160","89.160","88.750","0.08K","-0.08%"
"Mar 12, 2004","89.090","88.350","89.440","88.840","1.25K","0.68%"
"Mar 11, 2004","88.490","88.980","89.320","88.510","0.41K","-0.60%"
"Mar 10, 2004","89.020","88.500","89.260","88.350","2.83K","0.71%"
"Mar 09, 2004","88.390","87.880","88.310","87.670","3.84K","0.40%"
"Mar 08, 2004","88.040","88.230","88.400","87.900","2.58K","-0.22%"
"Mar 05, 2004","88.230","89.210","89.300","87.800","3.62K","-1.11%"
"Mar 04, 2004","89.220","89.150","89.500","88.900","3.33K","0.09%"
"Mar 03, 2004","89.140","89.050","89.950","89.020","2.01K","0.24%"
"Mar 02, 2004","88.930","87.620","89.150","87.600","7.14K","1.50%"
"Mar 01, 2004","87.620","87.110","87.700","87.110","1.79K","0.23%"
"Feb 27, 2004","87.420","87.740","88.060","87.280","1.44K","-0.42%"
"Feb 26, 2004","87.790","87.350","88.130","87.270","5.81K","0.54%"
"Feb 25, 2004","87.320","86.240","87.470","86.200","1.67K","1.26%"
"Feb 24, 2004","86.230","86.960","87.220","86.080","2.13K","-1.08%"
"Feb 23, 2004","87.170","87.350","87.820","86.830","4.20K","-0.26%"
"Feb 20, 2004","87.400","85.690","87.530","85.690","7.16K","1.58%"
"Feb 19, 2004","86.040","85.790","86.400","85.790","2.05K","0.02%"
"Feb 18, 2004","86.020","84.980","86.160","84.770","3.02K","1.06%"
"Feb 17, 2004","85.120","85.230","85.360","84.930","1.06K","-0.65%"
"Feb 13, 2004","85.680","85.350","85.840","84.850","8.19K","0.25%"
"Feb 12, 2004","85.470","85.200","85.480","85.200","0.72K","0.13%"
"Feb 11, 2004","85.360","86.100","86.310","85.200","2.11K","-0.79%"
"Feb 10, 2004","86.040","86.120","86.130","85.600","1.96K","-0.15%"
"Feb 09, 2004","86.170","86.420","86.420","85.830","0.96K","-0.03%"
"Feb 06, 2004","86.200","86.960","87.270","86.020","2.31K","-1.06%"
"Feb 05, 2004","87.120","87.070","87.140","86.460","1.74K","0.11%"
"Feb 04, 2004","87.020","87.040","87.300","86.920","2.06K","0.05%"
"Feb 03, 2004","86.980","87.660","87.700","86.670","2.22K","-0.92%"
"Feb 02, 2004","87.790","87.340","87.910","87.390","1.27K","0.42%"
"Jan 30, 2004","87.420","87.810","88.030","87.250","1.31K","-0.46%"
"Jan 29, 2004","87.820","87.630","88.070","87.140","3.14K","0.66%"
"Jan 28, 2004","87.240","86.470","87.500","86.440","2.66K","0.81%"
"Jan 27, 2004","86.540","87.390","87.560","86.380","2.89K","-1.11%"
"Jan 26, 2004","87.510","86.940","87.550","86.610","1.75K","0.76%"
"Jan 23, 2004","86.850","85.980","87.050","85.760","2.60K","0.88%"
"Jan 22, 2004","86.090","86.440","86.450","85.850","2.42K","-0.59%"
"Jan 21, 2004","86.600","86.820","86.980","86.350","1.27K","-0.44%"
"Jan 20, 2004","86.980","87.620","87.690","86.770","3.95K","-1.22%"
"Jan 16, 2004","88.050","86.730","88.170","86.730","5.74K","1.36%"
"Jan 15, 2004","86.870","86.390","86.930","86.340","2.57K","0.64%"
"Jan 14, 2004","86.320","85.540","86.470","85.540","1.94K","0.63%"
"Jan 13, 2004","85.780","85.840","85.990","85.530","1.88K","-0.09%"
"Jan 12, 2004","85.860","85.320","85.870","85.100","1.46K","0.55%"
"Jan 09, 2004","85.390","85.840","86.230","85.270","1.73K","-0.57%"
"Jan 08, 2004","85.880","86.550","86.960","85.750","2.35K","-0.74%"
"Jan 07, 2004","86.520","86.190","86.590","86.130","1.75K","0.69%"
"Jan 06, 2004","85.930","86.340","86.400","85.660","2.52K","-0.49%"
"Jan 05, 2004","86.350","86.750","86.770","86.270","2.40K","-0.67%"
"Jan 02, 2004","86.930","87.070","87.200","86.850","3.03K","-0.38%"
"Dec 31, 2003","87.260","87.270","87.540","86.700","4.15K","-0.13%"
"Dec 30, 2003","87.370","87.690","87.720","87.250","2.81K","-0.42%"
"Dec 29, 2003","87.740","88.070","88.080","87.570","0.66K","-0.22%"
"Dec 26, 2003","87.930","87.800","87.990","87.760","0.94K","0.05%"
"Dec 24, 2003","87.890","88.300","88.350","87.780","5.21K","-0.54%"
"Dec 23, 2003","88.370","88.360","88.460","88.200","0.39K","-0.02%"
"Dec 22, 2003","88.390","88.640","88.600","88.150","0.91K","-0.16%"
"Dec 19, 2003","88.530","88.220","88.780","88.260","0.67K","0.33%"
