Date,Open,High,Low,Close,Adj Close,Volume
08-03-2017,690.929993,690.929993,684.25,685.75,685.75,423200
09-03-2017,686.179993,688.969971,683.440002,683.679993,683.679993,387600
10-03-2017,686.609985,690.77002,685.169983,689.869995,689.869995,386300
13-03-2017,689.650024,692.23999,688.570007,691.630005,691.630005,347000
14-03-2017,690.950012,692.76001,688.669983,690.950012,690.950012,343500
15-03-2017,692.929993,704.97998,691.369995,701.840027,701.840027,423900
16-03-2017,700.369995,700.369995,691.409973,693.01001,693.01001,415500
17-03-2017,693.429993,700.340027,693.419983,696.640015,696.640015,806500
20-03-2017,697.909973,699.299988,689.809998,691.690002,691.690002,370200
21-03-2017,691.900024,703.580017,691.609985,701.159973,701.159973,558200
22-03-2017,703.380005,708.77002,702.23999,704.619995,704.619995,492000
23-03-2017,704.26001,708.849976,700.830017,702.75,702.75,445000
24-03-2017,702.570007,707.950012,701.960022,705.950012,705.950012,352500
27-03-2017,707.51001,710,700.02002,702.450012,702.450012,343200
28-03-2017,701.309998,703.849976,699.679993,703.359985,703.359985,435600
29-03-2017,701.380005,702.219971,697.349976,699.880005,699.880005,424600
30-03-2017,698.349976,698.349976,692.650024,695.070007,695.070007,404200
31-03-2017,695.02002,700.669983,694.789978,697.280029,697.280029,559300
03-04-2017,696.690002,697.619995,691.109985,697.51001,697.51001,426000
04-04-2017,697.109985,702.130005,695.429993,699.890015,699.890015,376200
05-04-2017,699.380005,704.929993,697.400024,704.169983,704.169983,437000
06-04-2017,703.02002,703.630005,699.98999,703.030029,703.030029,455900
07-04-2017,703.890015,706.059998,698.97998,699.219971,699.219971,537000
10-04-2017,699.530029,701.380005,696.059998,700.52002,700.52002,407800
11-04-2017,699.849976,701.539978,695.73999,700.340027,700.340027,476400
12-04-2017,698.599976,705.640015,697.01001,705.349976,705.349976,458100
13-04-2017,704.960022,706.609985,700.22998,703.150024,703.150024,398600
17-04-2017,704,706.340027,702.940002,706.169983,706.169983,306800
18-04-2017,706.059998,709.109985,704.960022,707.799988,707.799988,428100
19-04-2017,707.330017,707.330017,701.599976,703.97998,703.97998,457900
20-04-2017,702.909973,702.969971,696,701.200012,701.200012,431400
21-04-2017,700.909973,708.109985,700.73999,706.01001,706.01001,466200
24-04-2017,706.409973,709.700012,701.789978,709.030029,709.030029,465400
25-04-2017,707.429993,709.400024,704.460022,708.419983,708.419983,370300
26-04-2017,707.799988,710.75,704.940002,705.169983,705.169983,404200
27-04-2017,705.409973,711.469971,704.98999,707.580017,707.580017,476500
28-04-2017,707.27002,707.98999,702.179993,704.349976,704.349976,524500
01-05-2017,705.169983,705.539978,698.73999,699.580017,699.580017,382300
02-05-2017,701.659973,704.049988,698.359985,701.679993,701.679993,426700
03-05-2017,700.859985,701.409973,697.140015,697.539978,697.539978,462400
04-05-2017,695.75,699.530029,694.909973,698.969971,698.969971,473100
05-05-2017,700.809998,705.26001,700.809998,703.02002,703.02002,401900
08-05-2017,702.48999,703.76001,698.789978,702.219971,702.219971,412800
09-05-2017,700.76001,701.539978,695.109985,695.929993,695.929993,431400
10-05-2017,696.440002,698.830017,693.380005,696.900024,696.900024,478500
11-05-2017,695.320007,696.849976,691.400024,696.799988,696.799988,480500
12-05-2017,697.309998,701.97998,696.919983,700.289978,700.289978,365600
15-05-2017,699.969971,703.75,698.919983,702.47998,702.47998,423200
16-05-2017,702.580017,703.73999,697.099976,697.210022,697.210022,421600
17-05-2017,696.909973,701.409973,694.950012,698.23999,698.23999,482100
18-05-2017,699.26001,704.48999,694.690002,700.700012,700.700012,503400
19-05-2017,701.099976,703.280029,696.169983,703.27002,703.27002,564300
22-05-2017,702.400024,710.320007,701.830017,709.210022,709.210022,446700
23-05-2017,709.219971,714.859985,708.929993,710.539978,710.539978,454500
24-05-2017,711.150024,715.840027,711.150024,715.119995,715.119995,441700
25-05-2017,715.25,721.320007,713.820007,720.299988,720.299988,399400
26-05-2017,720.47998,721.690002,719.059998,720.219971,720.219971,365800
30-05-2017,720.080017,724.280029,718.76001,722.72998,722.72998,354500
31-05-2017,722.349976,728.97998,722.349976,726.619995,726.619995,577000
01-06-2017,726.299988,732.059998,723.679993,732.059998,732.059998,425400
02-06-2017,734.450012,735.859985,730.590027,732.630005,732.630005,375400
05-06-2017,732.159973,732.359985,729.01001,729.26001,729.26001,345300
06-06-2017,730.830017,731.640015,727.599976,728.109985,728.109985,434900
07-06-2017,728.190002,732.190002,727.26001,730.869995,730.869995,405300
08-06-2017,730.119995,730.289978,720.289978,724.77002,724.77002,426300
09-06-2017,723.52002,725.099976,719.400024,724.849976,724.849976,362900
12-06-2017,724.75,728.109985,718.890015,722.900024,722.900024,444400
13-06-2017,722.320007,724.809998,720.049988,723.940002,723.940002,370200
14-06-2017,728.609985,732.72998,726.700012,729.400024,729.400024,376900
15-06-2017,728.890015,734.780029,727.539978,734.299988,734.299988,430900
16-06-2017,734.830017,738.820007,734.809998,737.51001,737.51001,735500
19-06-2017,737.679993,738.26001,732.210022,734.440002,734.440002,378500
20-06-2017,734.630005,735.780029,733.710022,734.679993,734.679993,325900
21-06-2017,734.539978,735.440002,726.849976,729.859985,729.859985,381000
22-06-2017,729.400024,732.309998,727.150024,727.440002,727.440002,384800
23-06-2017,727.23999,730.950012,724.049988,725.27002,725.27002,461000
26-06-2017,725.919983,734.650024,724.859985,730.570007,730.570007,472100
27-06-2017,728.169983,729.159973,719.539978,720.659973,720.659973,482200
28-06-2017,722.159973,723.26001,712.669983,713.309998,713.309998,458300
29-06-2017,710.72998,710.72998,704.530029,707.390015,707.390015,537500
30-06-2017,707.97998,712.23999,706.900024,706.909973,706.909973,474300
03-07-2017,708.549988,709.890015,703.039978,703.359985,703.359985,245400
05-07-2017,703.51001,704.27002,698.859985,700.940002,700.940002,443100
06-07-2017,700.059998,701.429993,697.76001,700.440002,700.440002,423100
07-07-2017,700.409973,705.190002,700.090027,702.039978,702.039978,323200
10-07-2017,702.679993,705.710022,701.359985,701.429993,701.429993,383400
11-07-2017,701.950012,702.73999,697.880005,701.23999,701.23999,397900
12-07-2017,706.469971,708.77002,705.320007,705.48999,705.48999,396000
13-07-2017,705.02002,707.799988,703.119995,703.349976,703.349976,430000
14-07-2017,706.27002,710.77002,706.27002,707.349976,707.349976,394100
17-07-2017,707.530029,710.349976,706.340027,710.109985,710.109985,414300
18-07-2017,710.799988,712.929993,710.26001,711.780029,711.780029,397600
19-07-2017,712.570007,715.099976,711.099976,714.710022,714.710022,379600
20-07-2017,715.780029,720.619995,715.390015,719.809998,719.809998,398300
21-07-2017,719.23999,725.580017,717.909973,725.47998,725.47998,408900
24-07-2017,725.349976,725.469971,718.200012,719.02002,719.02002,421600
25-07-2017,719.169983,719.460022,714.48999,715.859985,715.859985,371700
26-07-2017,715.640015,722.679993,714.340027,722.590027,722.590027,391500
27-07-2017,721.429993,724.039978,719.580017,723.650024,723.650024,454200
28-07-2017,722.969971,726.099976,720.049988,724.059998,724.059998,446600
31-07-2017,723.890015,728.030029,722.289978,726.47998,726.47998,606900
01-08-2017,726.960022,730.580017,726.440002,728.849976,728.849976,475300
02-08-2017,727.030029,732.130005,722.950012,731.929993,731.929993,490000
03-08-2017,731.150024,734.169983,728.380005,734.109985,734.109985,459100
04-08-2017,732.159973,733.119995,727.97998,731.869995,731.869995,345400
07-08-2017,731.75,733.710022,729.909973,733.590027,733.590027,331800
08-08-2017,732.72998,735.859985,731.369995,735.679993,735.679993,427300
09-08-2017,737.429993,737.429993,731.940002,732.890015,732.890015,439700
10-08-2017,732.780029,736.570007,730.47998,734.650024,734.650024,391600
11-08-2017,734.450012,734.75,728.190002,730.450012,730.450012,342600
14-08-2017,730.830017,735.02002,729.76001,734.26001,734.26001,346500
15-08-2017,733.219971,738.419983,732.23999,737.549988,737.549988,355900
16-08-2017,736.880005,740.359985,736.309998,739.619995,739.619995,335000
17-08-2017,738.98999,740.27002,733.98999,734.419983,734.419983,352600
18-08-2017,734.330017,742.039978,732.320007,738.380005,738.380005,421100
21-08-2017,739.169983,742.52002,737.460022,741.409973,741.409973,302800
22-08-2017,741.539978,743.599976,739.469971,743.179993,743.179993,303700
23-08-2017,742.25,744.51001,739.960022,744,744,276000
24-08-2017,743.75,745.419983,742.02002,743.25,743.25,334500
25-08-2017,745.289978,749.359985,743.960022,746.47998,746.47998,288100
28-08-2017,747.349976,749.390015,744.840027,748.159973,748.159973,305000
29-08-2017,749.01001,750.320007,746.150024,746.469971,746.469971,273900
30-08-2017,745.419983,745.469971,742.340027,743.159973,743.159973,286200
31-08-2017,743.590027,745.22998,742.859985,743.23999,743.23999,414000
01-09-2017,743.840027,745.47998,738.849976,740.950012,740.950012,290900
05-09-2017,741.549988,743.109985,738.460022,742.809998,742.809998,417900
06-09-2017,744.150024,744.559998,737.909973,738.5,738.5,413700
07-09-2017,738.969971,745.349976,738.929993,743.909973,743.909973,399100
08-09-2017,743.640015,747.429993,741.26001,746.940002,746.940002,383700
11-09-2017,746.630005,755.369995,745.909973,754.799988,754.799988,374400
12-09-2017,754.070007,754.070007,737.98999,742.119995,742.119995,400800
13-09-2017,741.830017,742.380005,738.309998,738.710022,738.710022,443000
14-09-2017,738.340027,745.450012,736.359985,745.030029,745.030029,406100
15-09-2017,745.159973,748.27002,743.01001,746.25,746.25,765000
18-09-2017,746.419983,746.419983,733.320007,738.710022,738.710022,395100
19-09-2017,739.119995,739.880005,735.400024,736.690002,736.690002,395800
20-09-2017,738.289978,739.340027,728.530029,731.609985,731.609985,444100
21-09-2017,732,735.690002,730.23999,730.780029,730.780029,325000
22-09-2017,731.719971,732.840027,726.27002,726.630005,726.630005,356500
25-09-2017,726.950012,732.77002,725.780029,732.400024,732.400024,396200
26-09-2017,731.26001,734.02002,729.799988,731.669983,731.669983,378000
27-09-2017,728.679993,729.539978,718.47998,722.219971,722.219971,484500
28-09-2017,720.210022,725.159973,716.619995,723.789978,723.789978,398200
29-09-2017,723.619995,725.880005,720.429993,723.599976,723.599976,515200
02-10-2017,725.799988,728.419983,722.700012,725.469971,725.469971,410900
03-10-2017,724.880005,724.880005,718.960022,723.590027,723.590027,361000
04-10-2017,723.859985,731.72998,722.26001,731.650024,731.650024,375300
05-10-2017,731.719971,732.809998,727.97998,731.619995,731.619995,366900
06-10-2017,729.5,731.419983,725.849976,731.150024,731.150024,374000
09-10-2017,731.570007,733.830017,730.940002,731.789978,731.789978,276400
10-10-2017,732.530029,739.48999,731.179993,739.429993,739.429993,333400
11-10-2017,738.880005,745.880005,738.119995,742.460022,742.460022,410700
12-10-2017,742.619995,746.880005,742.369995,744.880005,744.880005,506800
13-10-2017,745.890015,747.070007,735.400024,737.25,737.25,681200
16-10-2017,736.929993,738.900024,727.52002,734.909973,734.909973,790700
17-10-2017,736.210022,742.440002,733.299988,740.570007,740.570007,638500
18-10-2017,740.289978,740.969971,736.460022,739.619995,739.619995,407600
19-10-2017,740.409973,747.960022,740.289978,747.859985,747.859985,410200
20-10-2017,747.950012,750.200012,745.419983,749.210022,749.210022,419400
23-10-2017,748.98999,750.72998,745.869995,749.549988,749.549988,363600
24-10-2017,749.909973,750.090027,745.409973,749.369995,749.369995,404000
25-10-2017,748.109985,748.159973,737.469971,746.340027,746.340027,497100
26-10-2017,749.440002,753.419983,746.359985,746.609985,746.609985,384200
27-10-2017,745.780029,754.02002,745.070007,751.619995,751.619995,361000
30-10-2017,751.390015,753.23999,749.450012,752.450012,752.450012,431600
31-10-2017,751.97998,755,750.280029,753.200012,753.200012,458600
01-11-2017,754.929993,754.940002,748.039978,748.950012,748.950012,461800
02-11-2017,750.25,755.25,746.539978,750.969971,750.969971,572800
03-11-2017,749.72998,755.710022,747.619995,753.429993,753.429993,477900
06-11-2017,753.150024,753.679993,748.849976,749.25,749.25,415100
07-11-2017,750.140015,759.669983,747.75,758.919983,758.919983,450700
08-11-2017,758.039978,761.539978,754.419983,759.590027,759.590027,446400
09-11-2017,758.049988,761.030029,756.390015,759.469971,759.469971,375100
10-11-2017,756.169983,758.400024,753.840027,756.950012,756.950012,620000
13-11-2017,757.619995,766.549988,757.619995,765.390015,765.390015,443200
14-11-2017,763.440002,774.710022,761.940002,774.469971,774.469971,546500
15-11-2017,775.570007,778.799988,766.76001,767.219971,767.219971,479500
16-11-2017,766.109985,766.719971,761.859985,764.190002,764.190002,474200
17-11-2017,763,763.960022,757.27002,758.080017,758.080017,583000
20-11-2017,758.5,759.27002,754.76001,755.960022,755.960022,445700
21-11-2017,757.22998,760.440002,755.77002,757.969971,757.969971,428900
22-11-2017,758.52002,759.440002,755.01001,757.72998,757.72998,316800
24-11-2017,758.429993,762.320007,757.929993,759.070007,759.070007,161200
27-11-2017,759.52002,763.789978,758.460022,762.539978,762.539978,412500
28-11-2017,764.02002,767.380005,763.690002,766.059998,766.059998,449300
29-11-2017,764.679993,770.169983,761.419983,767.549988,767.549988,457800
30-11-2017,767.559998,771.630005,766.659973,770.390015,770.390015,650700
01-12-2017,771.890015,773.880005,762.830017,767.159973,767.159973,491300
04-12-2017,768.090027,770.080017,761.320007,762.719971,762.719971,518600
05-12-2017,762.22998,763.200012,746.859985,750.619995,750.619995,641800
06-12-2017,751.419983,754.549988,748.900024,753.130005,753.130005,563800
07-12-2017,752.609985,755.200012,748.299988,755.179993,755.179993,560900
08-12-2017,754.099976,757.719971,752.02002,757.690002,757.690002,501700
11-12-2017,756.130005,762.969971,754.73999,762.590027,762.590027,513100
12-12-2017,758.890015,759.409973,747.929993,748.309998,748.309998,603200
13-12-2017,751.52002,754.090027,748.559998,750.5,750.5,579000
14-12-2017,749.52002,754.27002,743.900024,750.570007,750.570007,481100
15-12-2017,751.22998,756.219971,751.039978,753.380005,753.380005,1022800
18-12-2017,753.469971,756.169983,745.030029,745.840027,745.840027,562900
19-12-2017,746.309998,747.619995,733.710022,733.840027,733.840027,543800
20-12-2017,733.919983,736.799988,728.369995,728.97998,728.97998,573500
21-12-2017,719.140015,722.23999,714.570007,719.22998,719.22998,1080700
22-12-2017,720.340027,723.630005,720.289978,721.049988,721.049988,491500
26-12-2017,721.619995,723.960022,716.900024,717.030029,717.030029,323600
27-12-2017,718.27002,721.619995,718.02002,720.409973,720.409973,376000
28-12-2017,721.179993,724.099976,719.659973,723.890015,723.890015,322000
29-12-2017,725.380005,727.200012,722.780029,723.369995,723.369995,368000
02-01-2018,723.179993,723.530029,713.369995,715.719971,715.719971,519900
03-01-2018,713.869995,716.039978,704.179993,706.52002,706.52002,642400
04-01-2018,704.349976,708.380005,699.190002,700.52002,700.52002,683000
05-01-2018,701.919983,703.830017,696.73999,700.73999,700.73999,647700
08-01-2018,701.109985,708.090027,700.76001,707.869995,707.869995,726500
09-01-2018,707.780029,707.98999,699.640015,700.97998,700.97998,629400
10-01-2018,699.320007,699.320007,692.049988,693.140015,693.140015,587400
11-01-2018,692.830017,695.460022,688.179993,690.570007,690.570007,617500
12-01-2018,689.48999,690.099976,682.97998,683.909973,683.909973,668100
16-01-2018,685.48999,689.51001,680.01001,683.190002,683.190002,795900
17-01-2018,684.320007,689.859985,683.320007,687.669983,687.669983,634100
18-01-2018,688.210022,688.330017,680.719971,683.900024,683.900024,943700
19-01-2018,684.25,688.159973,681.669983,682.77002,682.77002,753300
22-01-2018,686.570007,691.599976,683.710022,684.859985,684.859985,1034100
23-01-2018,686.049988,695.789978,685.090027,691.809998,691.809998,790400
24-01-2018,690.880005,691.330017,685.909973,687,687,786700
25-01-2018,687.080017,697.099976,686.859985,696.52002,696.52002,835800
26-01-2018,697.47998,702.119995,691.75,699.099976,699.099976,830500
29-01-2018,697.409973,697.409973,690.039978,691.109985,691.109985,777700
30-01-2018,690.01001,694.599976,689.97998,691.710022,691.710022,768000
31-01-2018,692.299988,699.809998,688.75,699.25,699.25,1123600
01-02-2018,699.26001,703.460022,687.330017,689.23999,689.23999,831400
02-02-2018,686.73999,691.469971,683.590027,684.47998,684.47998,674500
05-02-2018,684.299988,690.369995,672.049988,672.890015,672.890015,850500
06-02-2018,666.419983,668.669983,649.76001,662.320007,662.320007,1061000
